Plot Title: 10169174,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
295,4/22/2019 9:00,3.893,224,2.6,,,,,
296,4/22/2019 15:00,6.877,152,2.6,,,,,
297,4/22/2019 21:00,4.415,0,2.6,,,,,
298,4/23/2019 3:00,4.415,0,2.6,,,,,
299,4/23/2019 9:00,4.831,208,2.58,,,,,
300,4/23/2019 15:00,6.268,176,2.6,,,,,
301,4/23/2019 21:00,5.347,0,2.6,,,,,
302,4/24/2019 3:00,3.998,0,2.6,,,,,
303,4/24/2019 9:00,5.141,288,2.58,,,,,
304,4/24/2019 15:00,9.275,216,2.62,,,,,
305,4/24/2019 21:00,4.415,0,2.6,,,,,
306,4/25/2019 3:00,3.788,0,2.6,,,,,
307,4/25/2019 9:00,6.978,400,2.6,,,,,
308,4/25/2019 15:00,10.944,216,2.62,,,,,
309,4/25/2019 21:00,4.727,0,2.62,,,,,
310,4/26/2019 3:00,3.367,0,2.6,,,,,
311,4/26/2019 9:00,5.244,672,2.57,,,,,
312,4/26/2019 15:00,10.553,224,2.62,,,,,
313,4/26/2019 21:00,3.683,0,2.6,,,,,
314,4/27/2019 3:00,2.517,0,2.6,,,,,
315,4/27/2019 9:00,3.049,57,2.6,,,,,
316,4/27/2019 15:00,7.179,272,2.62,,,,,
317,4/27/2019 21:00,0.674,0,2.58,,,,,
318,4/28/2019 3:00,-0.662,0,2.6,,,,,
319,4/28/2019 9:00,2.41,1984,2.57,,,,,
320,4/28/2019 15:00,7.782,256,2.62,,,,,
321,4/28/2019 21:00,2.088,0,2.6,,,,,
322,4/29/2019 3:00,0.674,0,2.58,,,,,
323,4/29/2019 9:00,4.102,2176,2.57,,,,,
324,4/29/2019 15:00,7.682,248,2.62,,,,,
325,4/29/2019 21:00,2.41,0,2.6,,,,,
326,4/30/2019 3:00,1.003,0,2.58,,,,,
327,4/30/2019 9:00,4.831,1280,2.57,,,,,
328,4/30/2019 15:00,7.481,232,2.62,,,,,
329,4/30/2019 21:00,2.837,0,2.6,,,,,
330,5/1/2019 3:00,2.088,0,2.6,,,,,
331,5/1/2019 9:00,4.934,480,2.58,,,,,
332,5/1/2019 15:00,10.651,384,2.62,,,,,
333,5/1/2019 21:00,2.837,0,2.6,,,,,
334,5/2/2019 3:00,0.674,0,2.58,,,,,
335,5/2/2019 9:00,3.578,272,2.6,,,,,
336,5/2/2019 15:00,11.139,480,2.62,,,,,
337,5/2/2019 21:00,4.623,0,2.62,,,,,
338,5/3/2019 3:00,3.472,0,2.6,,,,,
339,5/3/2019 9:00,7.782,208,2.62,,,,,
