Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
253,11/7/2020 20:16,-0.662,0,2.74,,,,,
254,11/8/2020 2:16,-1.341,0,2.72,,,,,
255,11/8/2020 8:16,-2.261,172.2,2.72,,,,,
256,11/8/2020 14:16,-1.341,753.5,2.72,,,,,
257,11/8/2020 20:16,-2.03,0,2.72,,,,,
258,11/9/2020 2:16,-2.727,0,2.7,,,,,
259,11/9/2020 8:16,-2.61,366,2.7,,,,,
260,11/9/2020 14:16,-1.456,602.8,2.72,,,,,
261,11/9/2020 20:16,-2.03,0,2.7,,,,,
262,11/10/2020 2:16,-0.887,0,2.72,,,,,
263,11/10/2020 8:16,-0.774,53.8,2.72,,,,,
264,11/10/2020 14:16,-0.437,10.8,2.72,,,,,
265,11/10/2020 20:16,-0.213,0,2.7,,,,,
266,11/11/2020 2:16,-0.102,0,2.7,,,,,
267,11/11/2020 8:16,-0.325,0,2.7,,,,,
268,11/11/2020 14:16,-0.213,10.8,2.7,,,,,
269,11/11/2020 20:16,-0.102,0,2.7,,,,,
270,11/12/2020 2:16,-0.437,0,2.72,,,,,
271,11/12/2020 8:16,-0.549,0,2.72,,,,,
272,11/12/2020 14:16,-0.102,10.8,2.7,,,,,
273,11/12/2020 20:16,-0.102,0,2.7,,,,,
274,11/13/2020 2:16,0.121,0,2.72,,,,,
275,11/13/2020 8:16,0.121,0,2.72,,,,,
276,11/13/2020 14:16,0.121,0,2.72,,,,,
277,11/13/2020 20:16,0.232,0,2.72,,,,,
278,11/14/2020 2:16,0.232,0,2.72,,,,,
279,11/14/2020 8:16,0.121,0,2.72,,,,,
280,11/14/2020 14:16,0.121,0,2.72,,,,,
281,11/14/2020 20:16,0.343,0,2.72,,,,,
282,11/15/2020 2:16,0.343,0,2.72,,,,,
283,11/15/2020 8:16,0.343,0,2.72,,,,,
284,11/15/2020 14:16,0.343,139.9,2.72,,,,,
285,11/15/2020 20:16,0.343,0,2.72,,,,,
286,11/16/2020 2:16,0.674,0,2.72,,,,,
287,11/16/2020 8:16,3.261,258.3,2.74,,,,,
288,11/16/2020 14:16,6.37,1097.9,2.75,,,,,
289,11/16/2020 20:16,4.311,0,2.75,,,,,
290,11/17/2020 2:16,5.86,0,2.75,,,,,
291,11/17/2020 8:16,5.552,322.9,2.75,,,,,
