"Plot Title: 10169186"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Good Battery","End Of File"
251,08/31/12 09:00:00 AM,13.846,3788.9,2.93,,,
252,08/31/12 03:00:00 PM,18.616,3961.1,2.93,,,
253,08/31/12 09:00:00 PM,10.846,0.0,2.91,,,
254,09/01/12 03:00:00 AM,8.779,0.0,2.91,,,
255,09/01/12 09:00:00 AM,11.625,3788.9,2.91,,,
256,09/01/12 03:00:00 PM,18.140,3616.7,2.93,,,
257,09/01/12 09:00:00 PM,12.110,0.0,2.91,,,
258,09/02/12 03:00:00 AM,10.259,0.0,2.91,,,
259,09/02/12 09:00:00 AM,12.690,3788.9,2.91,,,
260,09/02/12 03:00:00 PM,20.043,4650.0,2.91,,,
261,09/02/12 09:00:00 PM,13.461,0.0,2.93,,,
262,09/03/12 03:00:00 AM,12.110,0.0,2.91,,,
263,09/03/12 09:00:00 AM,15.282,3616.7,2.91,,,
264,09/03/12 03:00:00 PM,21.378,3616.7,2.93,,,
265,09/03/12 09:00:00 PM,14.517,0.0,2.93,,,
266,09/04/12 03:00:00 AM,12.787,0.0,2.93,,,
267,09/04/12 09:00:00 AM,16.808,3788.9,2.91,,,
268,09/04/12 03:00:00 PM,23.196,3616.7,2.93,,,
269,09/04/12 09:00:00 PM,16.808,0.0,2.93,,,
270,09/05/12 03:00:00 AM,15.378,0.0,2.91,,,
271,09/05/12 09:00:00 AM,18.331,3788.9,2.93,,,
272,09/05/12 03:00:00 PM,23.869,3788.9,2.95,,,
273,09/05/12 09:00:00 PM,16.808,0.0,2.93,,,
274,09/06/12 03:00:00 AM,15.091,0.0,2.93,,,
275,09/06/12 09:00:00 AM,18.045,3788.9,2.93,,,
276,09/06/12 03:00:00 PM,24.255,3616.7,2.95,,,
277,09/06/12 09:00:00 PM,16.999,0.0,2.93,,,
278,09/07/12 03:00:00 AM,15.855,0.0,2.93,,,
279,09/07/12 09:00:00 AM,19.948,3616.7,2.93,,,
280,09/07/12 03:00:00 PM,26.781,3272.2,2.93,,,
281,09/07/12 09:00:00 PM,19.187,0.0,2.95,,,
282,09/08/12 03:00:00 AM,17.665,0.0,2.95,,,
283,09/08/12 09:00:00 AM,21.569,3100.0,2.93,,,
284,09/08/12 03:00:00 PM,22.717,3444.5,2.95,,,
285,09/08/12 09:00:00 PM,15.951,0.0,2.93,,,
286,09/09/12 03:00:00 AM,12.013,0.0,2.93,,,
287,09/09/12 09:00:00 AM,8.779,2755.6,2.93,,,
288,09/09/12 03:00:00 PM,14.613,3100.0,2.93,,,
289,09/09/12 09:00:00 PM,9.768,0.0,2.91,,,
290,09/10/12 03:00:00 AM,8.879,0.0,2.93,,,
291,09/10/12 09:00:00 AM,8.182,775.0,2.91,,,
