"Plot Title: 10166273"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
299,09/27/15 03:00:00 AM,2.303,0.0,2.83,,,,,
300,09/27/15 09:00:00 AM,6.978,40.0,2.85,,,,,
301,09/27/15 03:00:00 PM,12.304,5.0,2.87,,,,,
302,09/27/15 09:00:00 PM,5.860,0.0,2.85,,,,,
303,09/28/15 03:00:00 AM,4.727,0.0,2.85,,,,,
304,09/28/15 09:00:00 AM,10.357,18.0,2.85,,,,,
305,09/28/15 03:00:00 PM,15.473,5.0,2.87,,,,,
306,09/28/15 09:00:00 PM,7.582,0.0,2.87,,,,,
307,09/29/15 03:00:00 AM,6.674,0.0,2.85,,,,,
308,09/29/15 09:00:00 AM,11.139,8.0,2.85,,,,,
309,09/29/15 03:00:00 PM,15.664,5.0,2.87,,,,,
310,09/29/15 09:00:00 PM,7.179,0.0,2.87,,,,,
311,09/30/15 03:00:00 AM,5.347,0.0,2.85,,,,,
312,09/30/15 09:00:00 AM,10.553,5.0,2.85,,,,,
313,09/30/15 03:00:00 PM,13.846,4.0,2.89,,,,,
314,09/30/15 09:00:00 PM,6.370,0.0,2.87,,,,,
315,10/01/15 03:00:00 AM,5.860,0.0,2.85,,,,,
316,10/01/15 09:00:00 AM,10.161,6.0,2.85,,,,,
317,10/01/15 03:00:00 PM,14.038,5.0,2.87,,,,,
318,10/01/15 09:00:00 PM,6.166,0.0,2.85,,,,,
319,10/02/15 03:00:00 AM,3.998,0.0,2.85,,,,,
320,10/02/15 09:00:00 AM,10.161,18.0,2.85,,,,,
321,10/02/15 03:00:00 PM,13.558,5.0,2.87,,,,,
322,10/02/15 09:00:00 PM,8.581,0.0,2.87,,,,,
323,10/03/15 03:00:00 AM,7.179,0.0,2.85,,,,,
324,10/03/15 09:00:00 AM,8.082,11.0,2.85,,,,,
325,10/03/15 03:00:00 PM,11.334,17.0,2.85,,,,,
326,10/03/15 09:00:00 PM,7.381,0.0,2.85,,,,,
327,10/04/15 03:00:00 AM,5.962,0.0,2.83,,,,,
328,10/04/15 09:00:00 AM,7.782,7.0,2.85,,,,,
329,10/04/15 03:00:00 PM,15.569,11.0,2.85,,,,,
330,10/04/15 09:00:00 PM,5.860,0.0,2.85,,,,,
331,10/05/15 03:00:00 AM,4.727,0.0,2.85,,,,,
332,10/05/15 09:00:00 AM,9.077,2.0,2.85,,,,,
333,10/05/15 03:00:00 PM,14.517,4.0,2.87,,,,,
334,10/05/15 09:00:00 PM,7.782,0.0,2.87,,,,,
335,10/06/15 03:00:00 AM,6.370,0.0,2.85,,,,,
336,10/06/15 09:00:00 AM,13.173,16.0,2.85,,,,,
337,10/06/15 03:00:00 PM,14.709,5.0,2.87,,,,,
338,10/06/15 09:00:00 PM,8.581,0.0,2.87,,,,,
339,10/07/15 03:00:00 AM,8.978,0.0,2.87,,,,,
