Plot Title: 10166293,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
332,10/5/2015 15:00,22.238,416,2.87,,,,
333,10/5/2015 21:00,16.237,0,2.85,,,,
334,10/6/2015 3:00,14.996,0,2.87,,,,
335,10/6/2015 9:00,16.618,272,2.87,,,,
336,10/6/2015 15:00,19.282,496,2.89,,,,
337,10/6/2015 21:00,13.461,0,2.87,,,,
338,10/7/2015 3:00,14.038,0,2.87,,,,
339,10/7/2015 9:00,15.378,144,2.85,,,,
340,10/7/2015 15:00,17.665,400,2.87,,,,
341,10/7/2015 21:00,14.517,0,2.87,,,,
342,10/8/2015 3:00,15.282,0,2.85,,,,
343,10/8/2015 9:00,16.237,152,2.87,,,,
344,10/8/2015 15:00,20.805,480,2.87,,,,
345,10/8/2015 21:00,17.189,0,2.87,,,,
346,10/9/2015 3:00,16.999,0,2.87,,,,
347,10/9/2015 9:00,17.189,192,2.87,,,,
348,10/9/2015 15:00,17.665,128,2.87,,,,
349,10/9/2015 21:00,14.9,0,2.87,,,,
350,10/10/2015 3:00,14.517,0,2.87,,,,
351,10/10/2015 9:00,13.846,184,2.87,,,,
352,10/10/2015 15:00,10.846,60,2.85,,,,
353,10/10/2015 21:00,7.079,0,2.85,,,,
354,10/11/2015 3:00,7.28,0,2.85,,,,
355,10/11/2015 9:00,6.978,176,2.85,,,,
356,10/11/2015 15:00,13.173,400,2.85,,,,
357,10/11/2015 21:00,10.063,0,2.85,,,,
358,10/12/2015 3:00,9.472,0,2.87,,,,
359,10/12/2015 9:00,11.139,192,2.85,,,,
360,10/12/2015 15:00,16.427,400,2.85,,,,
361,10/12/2015 21:00,12.207,0,2.85,,,,
362,10/13/2015 3:00,12.401,0,2.85,,,,
363,10/13/2015 9:00,12.401,192,2.85,,,,
364,10/13/2015 15:00,18.901,384,2.87,,,,
365,10/13/2015 21:00,13.846,0,2.87,,,,
366,10/14/2015 3:00,13.558,0,2.87,,,,
367,10/14/2015 9:00,15.855,208,2.85,,,,
368,10/14/2015 15:00,21.282,400,2.87,,,,
369,10/14/2015 21:00,17.379,0,2.87,,,,
370,10/15/2015 3:00,16.332,0,2.87,,,,
371,10/15/2015 9:00,17.57,116,2.87,,,,
372,10/15/2015 15:00,22.238,136,2.89,,,,
373,10/15/2015 21:00,18.521,0,2.87,,,,
374,10/16/2015 3:00,17.95,0,2.87,,,,
375,10/16/2015 9:00,18.426,93,2.87,,,,
376,10/16/2015 15:00,20.805,192,2.87,,,,
377,10/16/2015 21:00,15.76,0,2.87,,,,
378,10/17/2015 3:00,13.942,0,2.87,,,,
379,10/17/2015 9:00,13.173,113,2.87,,,,
380,10/17/2015 15:00,10.161,35,2.85,,,,
381,10/17/2015 21:00,9.571,0,2.87,,,,
382,10/18/2015 3:00,9.373,0,2.87,,,,
383,10/18/2015 9:00,9.669,125,2.85,,,,
384,10/18/2015 15:00,11.528,272,2.85,,,,
385,10/18/2015 21:00,8.978,0,2.87,,,,
386,10/19/2015 3:00,8.282,0,2.87,,,,
387,10/19/2015 9:00,7.481,28,2.85,,,,
388,10/19/2015 15:00,8.581,33,2.87,,,,
389,10/19/2015 21:00,7.682,0,2.85,,,,
390,10/20/2015 3:00,5.655,0,2.83,,,,
391,10/20/2015 9:00,6.37,176,2.85,,,,
392,10/20/2015 15:00,11.528,320,2.85,,,,
393,10/20/2015 21:00,9.176,0,2.87,,,,
394,10/21/2015 3:00,8.581,0,2.85,,,,
395,10/21/2015 9:00,10.357,216,2.85,,,,
396,10/21/2015 15:00,13.558,304,2.85,,,,
397,10/21/2015 21:00,9.669,0,2.85,,,,
398,10/22/2015 3:00,7.782,0,2.85,,,,
399,10/22/2015 9:00,6.268,176,2.83,,,,
400,10/22/2015 15:00,11.528,288,2.85,,,,
401,10/22/2015 21:00,7.481,0,2.85,,,,
402,10/23/2015 3:00,6.775,0,2.83,,,,
403,10/23/2015 9:00,9.373,176,2.87,,,,
404,10/23/2015 15:00,13.269,128,2.85,,,,
405,10/23/2015 21:00,12.207,0,2.85,,,,
406,10/24/2015 3:00,11.625,0,2.85,,,,
407,10/24/2015 9:00,12.013,118,2.85,,,,
408,10/24/2015 15:00,14.613,160,2.85,,,,
409,10/24/2015 21:00,12.11,0,2.85,,,,
410,10/25/2015 3:00,10.651,0,2.85,,,,
411,10/25/2015 9:00,8.481,11,2.85,,,,
412,10/25/2015 15:00,6.573,14,2.83,,,,
413,10/25/2015 21:00,5.141,0,2.83,,,,
414,10/26/2015 3:00,4.519,0,2.83,,,,
415,10/26/2015 9:00,4.415,100,2.83,,,,
416,10/26/2015 15:00,7.882,320,2.83,,,,
417,10/26/2015 21:00,6.064,0,2.83,,,,
418,10/27/2015 3:00,6.775,0,2.83,,,,
419,10/27/2015 9:00,9.176,128,2.85,,,,
420,10/27/2015 15:00,11.139,64,2.85,,,,
421,10/27/2015 21:00,8.581,0,2.85,,,,
422,10/28/2015 3:00,7.782,0,2.83,,,,
423,10/28/2015 9:00,6.37,46,2.83,,,,
424,10/28/2015 15:00,6.471,77,2.83,,,,
425,10/28/2015 21:00,6.166,0,2.83,,,,
426,10/29/2015 3:00,6.573,0,2.83,,,,
427,10/29/2015 9:00,6.166,136,2.83,,,,
428,10/29/2015 15:00,8.182,368,2.83,,,,
429,10/29/2015 21:00,6.268,0,2.83,,,,
430,10/30/2015 3:00,5.757,0,2.81,,,,
431,10/30/2015 9:00,6.166,30,2.83,,,,
432,10/30/2015 15:00,8.68,18,2.85,,,,
433,10/30/2015 21:00,9.373,0,2.85,,,,
434,10/31/2015 3:00,9.472,0,2.85,,,,
435,10/31/2015 9:00,9.176,64,2.85,,,,
436,10/31/2015 15:00,9.275,17,2.85,,,,
437,10/31/2015 21:00,8.68,0,2.83,,,,
438,11/1/2015 3:00,4.934,0,2.81,,,,
439,11/1/2015 9:00,4.311,28,2.83,,,,
440,11/1/2015 15:00,3.893,22,2.81,,,,
441,11/1/2015 21:00,2.624,0,2.81,,,,
442,11/2/2015 3:00,2.195,0,2.81,,,,
443,11/2/2015 9:00,2.303,39,2.81,,,,
444,11/2/2015 15:00,3.367,104,2.81,,,,
445,11/2/2015 21:00,2.517,0,2.81,,,,
446,11/3/2015 3:00,1.656,0,2.79,,,,
447,11/3/2015 9:00,1.548,94,2.79,,,,
448,11/3/2015 15:00,1.221,56,2.79,,,,
449,11/3/2015 21:00,0.674,0,2.79,,,,
450,11/4/2015 3:00,0.121,0,2.79,,,,
451,11/4/2015 9:00,0.01,192,2.77,,,,
452,11/4/2015 15:00,1.98,81,2.79,,,,
453,11/4/2015 21:00,1.003,0,2.79,,,,
454,11/5/2015 3:00,1.221,0,2.79,,,,
455,11/5/2015 9:00,0.893,128,2.79,,,,
456,11/5/2015 15:00,1.98,27,2.79,,,,
457,11/5/2015 21:00,2.517,0,2.79,,,,
458,11/6/2015 3:00,2.624,0,2.79,,,,
459,11/6/2015 9:00,2.943,152,2.79,,,,
460,11/6/2015 15:00,7.882,288,2.81,,,,
461,11/6/2015 21:00,5.347,0,2.79,,,,
462,11/7/2015 3:00,4.311,0,2.81,,,,
463,11/7/2015 9:00,5.141,110,2.79,,,,
464,11/7/2015 15:00,7.179,152,2.81,,,,
465,11/7/2015 21:00,4.623,0,2.81,,,,
466,11/8/2015 3:00,4.102,0,2.81,,,,
467,11/8/2015 9:00,2.517,39,2.79,,,,
468,11/8/2015 15:00,1.98,70,2.79,,,,
469,11/8/2015 21:00,0.343,0,2.77,,,,
470,11/9/2015 3:00,0.121,0,2.77,,,,
471,11/9/2015 9:00,0.453,176,2.77,,,,
472,11/9/2015 15:00,1.003,160,2.77,,,,
473,11/9/2015 21:00,0.563,0,2.77,,,,
474,11/10/2015 3:00,-0.102,0,2.77,,,,
475,11/10/2015 9:00,-0.102,42,2.77,,,,
476,11/10/2015 15:00,1.112,272,2.77,,,,
477,11/10/2015 21:00,0.121,0,2.77,,,,
478,11/11/2015 3:00,0.01,0,2.77,,,,
479,11/11/2015 9:00,0.232,33,2.77,,,,
480,11/11/2015 15:00,0.343,44,2.77,,,,
481,11/11/2015 21:00,0.232,0,2.77,,,,
482,11/12/2015 3:00,-0.102,0,2.77,,,,
483,11/12/2015 9:00,0.232,168,2.77,,,,
484,11/12/2015 15:00,1.112,32,2.77,,,,
485,11/12/2015 21:00,1.872,0,2.77,,,,
486,11/13/2015 3:00,4.207,0,2.79,,,,
487,11/13/2015 9:00,5.037,7,2.79,,,,
488,11/13/2015 15:00,5.141,10,2.79,,,,
489,11/13/2015 21:00,5.037,0,2.79,,,,
490,11/14/2015 3:00,4.415,0,2.79,,,,
491,11/14/2015 9:00,3.998,136,2.79,,,,
492,11/14/2015 15:00,5.962,122,2.79,,,,
493,11/14/2015 21:00,4.934,0,2.79,,,,
494,11/15/2015 3:00,4.727,0,2.79,,,,
495,11/15/2015 9:00,-0.102,18,2.75,Logged,,,
496,11/15/2015 15:00,0.121,18,2.75,,,,
497,11/15/2015 21:00,-0.102,0,2.75,,,,
498,11/16/2015 3:00,-0.213,0,2.75,,,,
499,11/16/2015 9:00,-0.774,12,2.77,,,,
500,11/16/2015 15:00,-0.662,7,2.77,,,,
501,11/16/2015 21:00,0.121,0,2.75,,,,
502,11/17/2015 3:00,0.121,0,2.75,,,,
