Plot Title: 10166287,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Good Battery,Coupler Attached,Stopped,End Of File
408,10/23/2015 15:00,17.57,1344,2.89,,,,,
409,10/23/2015 21:00,6.775,0,2.87,,,,,
410,10/24/2015 3:00,6.978,0,2.87,,,,,
411,10/24/2015 9:00,12.207,1600,2.87,,,,,
412,10/24/2015 15:00,16.903,864,2.89,,,,,
413,10/24/2015 21:00,5.757,0,2.85,,,,,
414,10/25/2015 3:00,4.415,0,2.85,,,,,
415,10/25/2015 9:00,8.182,136,2.87,,,,,
416,10/25/2015 15:00,10.553,288,2.85,,,,,
417,10/25/2015 21:00,7.381,0,2.85,,,,,
418,10/26/2015 3:00,6.674,0,2.85,,,,,
419,10/26/2015 9:00,9.669,1024,2.85,,,,,
420,10/26/2015 15:00,11.916,800,2.87,,,,,
421,10/26/2015 21:00,1.112,0,2.83,,,,,
422,10/27/2015 3:00,-0.102,0,2.81,,,,,
423,10/27/2015 9:00,7.179,1024,2.85,,,,,
424,10/27/2015 15:00,14.804,864,2.89,,,,,
425,10/27/2015 21:00,8.182,0,2.87,,,,,
426,10/28/2015 3:00,7.983,0,2.87,,,,,
427,10/28/2015 9:00,8.779,480,2.87,,,,,
428,10/28/2015 15:00,11.431,480,2.85,,,,,
429,10/28/2015 21:00,8.382,0,2.87,,,,,
430,10/29/2015 3:00,8.382,0,2.87,,,,,
431,10/29/2015 9:00,10.161,1024,2.85,,,,,
432,10/29/2015 15:00,16.046,2816,2.87,,,,,
433,10/29/2015 21:00,4.934,0,2.83,,,,,
434,10/30/2015 3:00,6.573,0,2.85,,,,,
435,10/30/2015 9:00,8.978,608,2.85,,,,,
436,10/30/2015 15:00,10.944,168,2.85,,,,,
437,10/30/2015 21:00,10.846,0,2.85,,,,,
438,10/31/2015 3:00,10.846,0,2.85,,,,,
439,10/31/2015 9:00,12.013,480,2.85,,,,,
440,10/31/2015 15:00,12.594,480,2.85,,,,,
441,10/31/2015 21:00,10.357,0,2.85,,,,,
442,11/1/2015 3:00,6.573,0,2.85,,,,,
443,11/1/2015 9:00,7.179,288,2.85,,,,,
444,11/1/2015 15:00,7.782,384,2.85,,,,,
445,11/1/2015 21:00,4.831,0,2.81,,,,,
446,11/2/2015 3:00,4.311,0,2.83,,,,,
447,11/2/2015 9:00,5.86,512,2.83,,,,,
448,11/2/2015 15:00,8.382,1280,2.85,,,,,
449,11/2/2015 21:00,4.102,0,2.83,,,,,
450,11/3/2015 3:00,3.367,0,2.81,,,,,
451,11/3/2015 9:00,6.268,1280,2.83,,,,,
452,11/3/2015 15:00,5.962,800,2.81,,,,,
453,11/3/2015 21:00,-1.114,0,2.79,,,,,
454,11/4/2015 3:00,-0.213,0,2.77,,,,,
455,11/4/2015 9:00,1.112,1152,2.77,,,,,
456,11/4/2015 15:00,9.965,2304,2.83,,,,,
457,11/4/2015 21:00,1.003,0,2.79,,,,,
458,11/5/2015 3:00,0.563,0,2.79,,,,,
459,11/5/2015 9:00,5.757,1216,2.81,,,,,
460,11/5/2015 15:00,5.141,208,2.81,,,,,
461,11/5/2015 21:00,4.415,0,2.83,,,,,
462,11/6/2015 3:00,2.73,0,2.81,,,,,
463,11/6/2015 9:00,-0.102,256,2.77,,,,,
464,11/6/2015 15:00,11.236,768,2.85,,,,,
465,11/6/2015 21:00,2.303,0,2.83,,,,,
466,11/7/2015 3:00,-0.774,0,2.81,,,,,
467,11/7/2015 9:00,5.86,1600,2.83,,,,,
468,11/7/2015 15:00,11.722,512,2.85,,,,,
469,11/7/2015 21:00,6.268,0,2.83,,,,,
470,11/8/2015 3:00,5.86,0,2.83,,,,,
471,11/8/2015 9:00,6.064,432,2.83,,,,,
472,11/8/2015 15:00,8.481,1344,2.85,,,,,
473,11/8/2015 21:00,0.343,0,2.79,,,,,
474,11/9/2015 3:00,0.453,0,2.79,,,,,
475,11/9/2015 9:00,2.41,960,2.79,,,,,
476,11/9/2015 15:00,5.86,1280,2.81,,,,,
477,11/9/2015 21:00,0.01,0,2.79,,,,,
