Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
462,12/9/2018 21:00,0.232,0,,
463,12/10/2018 3:00,0.232,0,,
464,12/10/2018 9:00,0.232,0,,
465,12/10/2018 15:00,0.232,0,,
466,12/10/2018 21:00,0.232,0,,
467,12/11/2018 3:00,0.232,0,,
468,12/11/2018 9:00,0.232,0,,
469,12/11/2018 15:00,0.232,0,,
470,12/11/2018 21:00,0.232,0,,
471,12/12/2018 3:00,0.232,0,,
472,12/12/2018 9:00,0.232,0,,
473,12/12/2018 15:00,0.232,0,,
474,12/12/2018 21:00,0.232,0,,
475,12/13/2018 3:00,0.232,0,,
476,12/13/2018 9:00,0.232,0,,
477,12/13/2018 15:00,0.232,0,,
478,12/13/2018 21:00,0.232,0,,
479,12/14/2018 3:00,0.232,0,,
480,12/14/2018 9:00,0.232,0,,
481,12/14/2018 15:00,0.232,0,,
482,12/14/2018 21:00,0.232,0,,
483,12/15/2018 3:00,0.232,0,,
484,12/15/2018 9:00,0.232,0,,
485,12/15/2018 15:00,0.343,0,,
486,12/15/2018 21:00,0.232,0,,
487,12/16/2018 3:00,0.232,0,,
488,12/16/2018 9:00,0.232,0,,
489,12/16/2018 15:00,0.343,0,,
490,12/16/2018 21:00,0.232,0,,
491,12/17/2018 3:00,0.232,0,,
492,12/17/2018 9:00,0.343,0,,
493,12/17/2018 15:00,0.343,0,,
494,12/17/2018 21:00,0.232,0,,
495,12/18/2018 3:00,0.232,0,,
496,12/18/2018 9:00,0.232,0,,
497,12/18/2018 15:00,0.343,0,,
498,12/18/2018 21:00,0.232,0,,
499,12/19/2018 3:00,0.232,0,,
500,12/19/2018 9:00,0.343,0,,
501,12/19/2018 15:00,0.343,2,,
502,12/19/2018 21:00,0.343,0,,
503,12/20/2018 3:00,0.563,0,,
504,12/20/2018 9:00,1.112,0,,
505,12/20/2018 15:00,0.343,8,,
506,12/20/2018 21:00,0.232,0,,
507,12/21/2018 3:00,0.01,0,,
508,12/21/2018 9:00,-0.102,0,,
509,12/21/2018 15:00,0.121,8,,
510,12/21/2018 21:00,-0.213,0,,
511,12/22/2018 3:00,-0.549,0,,
512,12/22/2018 9:00,-0.437,0,,
513,12/22/2018 15:00,-0.102,6,,
514,12/22/2018 21:00,0.01,0,,
515,12/23/2018 3:00,0.232,0,,
516,12/23/2018 9:00,0.232,0,,
517,12/23/2018 15:00,0.232,2,,
518,12/23/2018 21:00,0.232,0,,
519,12/24/2018 3:00,0.232,0,,
520,12/24/2018 9:00,0.232,0,,
521,12/24/2018 15:00,0.232,0,,
522,12/24/2018 21:00,0.232,0,,
523,12/25/2018 3:00,0.232,0,,
524,12/25/2018 9:00,0.232,0,,
525,12/25/2018 15:00,0.232,0,,
526,12/25/2018 21:00,0.232,0,,
527,12/26/2018 3:00,0.232,0,,
528,12/26/2018 9:00,0.121,0,,
529,12/26/2018 15:00,0.121,0,,
530,12/26/2018 21:00,0.121,0,,
531,12/27/2018 3:00,0.121,0,,
532,12/27/2018 9:00,0.01,0,,
533,12/27/2018 15:00,0.01,0,,
534,12/27/2018 21:00,-0.102,0,,
535,12/28/2018 3:00,0.01,0,,
