"Plot Title: 10169140"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
251,07/27/17 03:00:00 AM,12.690,0.0,2.87,,,,
252,07/27/17 09:00:00 AM,16.237,224.0,2.87,,,,
253,07/27/17 03:00:00 PM,20.043,61.0,2.89,,,,
254,07/27/17 09:00:00 PM,14.517,0.0,2.89,,,,
255,07/28/17 03:00:00 AM,12.690,0.0,2.87,,,,
256,07/28/17 09:00:00 AM,15.760,216.0,2.87,,,,
257,07/28/17 03:00:00 PM,19.472,62.0,2.89,,,,
258,07/28/17 09:00:00 PM,14.134,0.0,2.87,,,,
259,07/29/17 03:00:00 AM,12.497,0.0,2.87,,,,
260,07/29/17 09:00:00 AM,16.141,240.0,2.87,,,,
261,07/29/17 03:00:00 PM,20.710,61.0,2.89,,,,
262,07/29/17 09:00:00 PM,15.473,0.0,2.87,,,,
263,07/30/17 03:00:00 AM,13.846,0.0,2.87,,,,
264,07/30/17 09:00:00 AM,17.284,248.0,2.87,,,,
265,07/30/17 03:00:00 PM,21.473,60.0,2.89,,,,
266,07/30/17 09:00:00 PM,17.284,0.0,2.89,,,,
267,07/31/17 03:00:00 AM,15.282,0.0,2.87,,,,
268,07/31/17 09:00:00 AM,19.377,256.0,2.89,,,,
269,07/31/17 03:00:00 PM,24.158,65.0,2.91,,,,
270,07/31/17 09:00:00 PM,19.377,0.0,2.91,,,,
271,08/01/17 03:00:00 AM,17.284,0.0,2.89,,,,
272,08/01/17 09:00:00 AM,21.378,304.0,2.89,,,,
273,08/01/17 03:00:00 PM,26.097,61.0,2.91,,,,
274,08/01/17 09:00:00 PM,21.282,0.0,2.91,,,,
275,08/02/17 03:00:00 AM,19.758,0.0,2.89,,,,
276,08/02/17 09:00:00 AM,23.677,336.0,2.91,,,,
277,08/02/17 03:00:00 PM,26.683,59.0,2.93,,,,
278,08/02/17 09:00:00 PM,21.473,0.0,2.91,,,,
279,08/03/17 03:00:00 AM,19.662,0.0,2.89,,,,
280,08/03/17 09:00:00 AM,22.717,352.0,2.91,,,,
281,08/03/17 03:00:00 PM,26.977,63.0,2.93,,,,
282,08/03/17 09:00:00 PM,20.805,0.0,2.91,,,,
283,08/04/17 03:00:00 AM,18.996,0.0,2.91,,,,
284,08/04/17 09:00:00 AM,22.046,352.0,2.91,,,,
285,08/04/17 03:00:00 PM,24.062,62.0,2.93,,,,
286,08/04/17 09:00:00 PM,18.426,0.0,2.91,,,,
287,08/05/17 03:00:00 AM,15.951,0.0,2.89,,,,
288,08/05/17 09:00:00 AM,19.187,400.0,2.91,,,,
289,08/05/17 03:00:00 PM,21.760,128.0,2.91,,,,
290,08/05/17 09:00:00 PM,17.284,0.0,2.89,,,,
291,08/06/17 03:00:00 AM,15.473,0.0,2.89,,,,
292,08/06/17 09:00:00 AM,18.616,128.0,2.91,,,,
293,08/06/17 03:00:00 PM,21.091,160.0,2.91,,,,
294,08/06/17 09:00:00 PM,18.331,0.0,2.91,,,,
295,08/07/17 03:00:00 AM,16.523,0.0,2.89,,,,
296,08/07/17 09:00:00 AM,20.329,576.0,2.89,,,,
297,08/07/17 03:00:00 PM,23.966,66.0,2.93,,,,
298,08/07/17 09:00:00 PM,19.567,0.0,2.91,,,,
299,08/08/17 03:00:00 AM,17.284,0.0,2.89,,,,
300,08/08/17 09:00:00 AM,21.473,1408.0,2.91,,,,
301,08/08/17 03:00:00 PM,23.869,68.0,2.93,,,,
302,08/08/17 09:00:00 PM,19.853,0.0,2.89,,,,
303,08/09/17 03:00:00 AM,17.475,0.0,2.89,,,,
304,08/09/17 09:00:00 AM,20.996,576.0,2.89,,,,
305,08/09/17 03:00:00 PM,24.255,70.0,2.93,,,,
306,08/09/17 09:00:00 PM,19.567,0.0,2.91,,,,
307,08/10/17 03:00:00 AM,17.379,0.0,2.89,,,,
308,08/10/17 09:00:00 AM,20.996,480.0,2.89,,,,
309,08/10/17 03:00:00 PM,19.567,30.0,2.91,,,,
310,08/10/17 09:00:00 PM,18.806,0.0,2.91,,,,
311,08/11/17 03:00:00 AM,17.284,0.0,2.89,,,,
312,08/11/17 09:00:00 AM,21.378,704.0,2.89,,,,
313,08/11/17 03:00:00 PM,22.525,60.0,2.91,,,,
314,08/11/17 09:00:00 PM,18.331,0.0,2.91,,,,
315,08/12/17 03:00:00 AM,16.141,0.0,2.89,,,,
316,08/12/17 09:00:00 AM,19.567,1728.0,2.91,,,,
317,08/12/17 03:00:00 PM,18.711,60.0,2.91,,,,
318,08/12/17 09:00:00 PM,14.613,0.0,2.89,,,,
319,08/13/17 03:00:00 AM,13.173,0.0,2.87,,,,
320,08/13/17 09:00:00 AM,12.013,26.0,2.87,,,,
321,08/13/17 03:00:00 PM,13.558,35.0,2.87,,,,
322,08/13/17 09:00:00 PM,11.528,0.0,2.85,,,,
323,08/14/17 03:00:00 AM,9.965,0.0,2.85,,,,
324,08/14/17 09:00:00 AM,13.750,1536.0,2.87,,,,
325,08/14/17 03:00:00 PM,16.141,90.0,2.87,,,,
326,08/14/17 09:00:00 PM,11.625,0.0,2.85,,,,
327,08/15/17 03:00:00 AM,9.768,0.0,2.85,,,,
328,08/15/17 09:00:00 AM,14.900,1920.0,2.87,,,,
329,08/15/17 03:00:00 PM,16.332,100.0,2.87,,,,
330,08/15/17 09:00:00 PM,12.594,0.0,2.87,,,,
331,08/16/17 03:00:00 AM,11.334,0.0,2.85,,,,
332,08/16/17 09:00:00 AM,17.379,2688.0,2.87,,,,
333,08/16/17 03:00:00 PM,19.377,48.0,2.89,,,,
334,08/16/17 09:00:00 PM,14.613,0.0,2.89,,,,
335,08/17/17 03:00:00 AM,13.365,0.0,2.87,,,,
336,08/17/17 09:00:00 AM,18.045,3584.0,2.89,,,,
337,08/17/17 03:00:00 PM,19.662,50.0,2.89,,,,
338,08/17/17 09:00:00 PM,15.091,0.0,2.87,,,,
339,08/18/17 03:00:00 AM,13.269,0.0,2.87,,,,
340,08/18/17 09:00:00 AM,18.901,2304.0,2.89,,,,
341,08/18/17 03:00:00 PM,19.853,47.0,2.89,,,,
342,08/18/17 09:00:00 PM,14.421,0.0,2.89,,,,
343,08/19/17 03:00:00 AM,12.594,0.0,2.87,,,,
344,08/19/17 09:00:00 AM,16.427,1152.0,2.87,,,,
345,08/19/17 03:00:00 PM,18.045,52.0,2.89,,,,
346,08/19/17 09:00:00 PM,13.846,0.0,2.87,,,,
347,08/20/17 03:00:00 AM,11.139,0.0,2.85,,,,
348,08/20/17 09:00:00 AM,16.808,1152.0,2.87,,,,
349,08/20/17 03:00:00 PM,18.996,64.0,2.89,,,,
350,08/20/17 09:00:00 PM,14.709,0.0,2.89,,,,
351,08/21/17 03:00:00 AM,13.750,0.0,2.87,,,,
352,08/21/17 09:00:00 AM,17.665,160.0,2.89,,,,
353,08/21/17 03:00:00 PM,21.855,65.0,2.89,,,,
354,08/21/17 09:00:00 PM,17.760,0.0,2.89,,,,
355,08/22/17 03:00:00 AM,15.378,0.0,2.87,,,,
356,08/22/17 09:00:00 AM,18.711,368.0,2.89,,,,
357,08/22/17 03:00:00 PM,20.519,77.0,2.89,,,,
358,08/22/17 09:00:00 PM,16.141,0.0,2.89,,,,
359,08/23/17 03:00:00 AM,14.709,0.0,2.89,,,,
360,08/23/17 09:00:00 AM,17.950,304.0,2.89,,,,
361,08/23/17 03:00:00 PM,20.234,136.0,2.89,,,,
362,08/23/17 09:00:00 PM,14.900,0.0,2.89,,,,
363,08/24/17 03:00:00 AM,12.690,0.0,2.87,,,,
364,08/24/17 09:00:00 AM,14.325,126.0,2.89,,,,
365,08/24/17 03:00:00 PM,15.760,39.0,2.87,,,,
366,08/24/17 09:00:00 PM,10.651,0.0,2.85,,,,
367,08/25/17 03:00:00 AM,9.275,0.0,2.87,,,,
368,08/25/17 09:00:00 AM,15.951,672.0,2.87,,,,
369,08/25/17 03:00:00 PM,18.045,50.0,2.89,,,,
370,08/25/17 09:00:00 PM,13.846,0.0,2.87,,,,
371,08/26/17 03:00:00 AM,12.980,0.0,2.87,,,,
372,08/26/17 09:00:00 AM,20.424,608.0,2.89,,,,
373,08/26/17 03:00:00 PM,22.238,58.0,2.91,,,,
374,08/26/17 09:00:00 PM,18.426,0.0,2.89,,,,
375,08/27/17 03:00:00 AM,17.570,0.0,2.89,,,,
376,08/27/17 09:00:00 AM,22.621,464.0,2.91,,,,
377,08/27/17 03:00:00 PM,24.931,74.0,2.93,,,,
378,08/27/17 09:00:00 PM,20.901,0.0,2.91,,,,
379,08/28/17 03:00:00 AM,19.377,0.0,2.91,,,,
380,08/28/17 09:00:00 AM,23.292,384.0,2.91,,,,
381,08/28/17 03:00:00 PM,25.513,81.0,2.91,,,,
382,08/28/17 09:00:00 PM,20.424,0.0,2.91,,,,
383,08/29/17 03:00:00 AM,18.901,0.0,2.91,,,,
384,08/29/17 09:00:00 AM,21.664,232.0,2.91,,,,
385,08/29/17 03:00:00 PM,22.429,80.0,2.91,,,,
386,08/29/17 09:00:00 PM,17.950,0.0,2.91,,,,
387,08/30/17 03:00:00 AM,14.709,0.0,2.91,,,,
388,08/30/17 09:00:00 AM,16.999,320.0,2.89,,,,
389,08/30/17 03:00:00 PM,18.426,46.0,2.91,,,,
390,08/30/17 09:00:00 PM,13.558,0.0,2.89,,,,
391,08/31/17 03:00:00 AM,11.916,0.0,2.87,,,,
392,08/31/17 09:00:00 AM,18.331,480.0,2.89,,,,
393,08/31/17 03:00:00 PM,20.329,40.0,2.89,,,,
394,08/31/17 09:00:00 PM,17.094,0.0,2.89,,,,
395,09/01/17 03:00:00 AM,16.427,0.0,2.89,,,,
396,09/01/17 09:00:00 AM,22.142,384.0,2.91,,,,
397,09/01/17 03:00:00 PM,24.545,62.0,2.93,,,,
398,09/01/17 09:00:00 PM,21.091,0.0,2.91,,,,
399,09/02/17 03:00:00 AM,20.234,0.0,2.91,,,,
400,09/02/17 09:00:00 AM,23.292,272.0,2.91,,,,
401,09/02/17 03:00:00 PM,26.390,76.0,2.93,,,,
402,09/02/17 09:00:00 PM,21.760,0.0,2.91,,,,
403,09/03/17 03:00:00 AM,20.615,0.0,2.91,,,,
404,09/03/17 09:00:00 AM,23.966,288.0,2.93,,,,
405,09/03/17 03:00:00 PM,26.097,86.0,2.93,,,,
406,09/03/17 09:00:00 PM,20.519,0.0,2.91,,,,
407,09/04/17 03:00:00 AM,19.472,0.0,2.93,,,,
408,09/04/17 09:00:00 AM,21.951,208.0,2.91,,,,
409,09/04/17 03:00:00 PM,25.610,74.0,2.93,,,,
410,09/04/17 09:00:00 PM,22.238,0.0,2.93,,,,
411,09/05/17 03:00:00 AM,20.901,0.0,2.91,,,,
