"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Bad Battery","Coupler Attached","Stopped","End Of File"
314,10/16/17 03:00:00 AM,0.343,0.0,,,,
315,10/16/17 09:00:00 AM,0.343,0.0,,,,
316,10/16/17 03:00:00 PM,0.343,1.0,,,,
317,10/16/17 09:00:00 PM,0.343,0.0,,,,
318,10/17/17 03:00:00 AM,0.453,0.0,,,,
319,10/17/17 09:00:00 AM,0.784,40.0,,,,
320,10/17/17 03:00:00 PM,1.330,28.0,,,,
321,10/17/17 09:00:00 PM,2.088,0.0,,,,
322,10/18/17 03:00:00 AM,2.837,0.0,,,,
323,10/18/17 09:00:00 AM,3.788,105.0,,,,
324,10/18/17 03:00:00 PM,5.347,76.0,,,,
325,10/18/17 09:00:00 PM,3.998,0.0,,,,
326,10/19/17 03:00:00 AM,3.472,0.0,,,,
327,10/19/17 09:00:00 AM,3.893,14.0,,,,
328,10/19/17 03:00:00 PM,4.934,60.0,,,,
329,10/19/17 09:00:00 PM,0.343,0.0,,,,
330,10/20/17 03:00:00 AM,0.343,0.0,,,,
331,10/20/17 09:00:00 AM,0.232,22.0,,,,
332,10/20/17 03:00:00 PM,0.232,4.0,,,,
333,10/20/17 09:00:00 PM,0.232,0.0,,,,
334,10/21/17 03:00:00 AM,0.232,0.0,,,,
335,10/21/17 09:00:00 AM,0.232,2.0,,,,
336,10/21/17 03:00:00 PM,0.121,0.0,,,,
337,10/21/17 09:00:00 PM,0.121,0.0,,,,
338,10/22/17 03:00:00 AM,0.232,0.0,,,,
339,10/22/17 09:00:00 AM,0.232,0.0,,,,
340,10/22/17 03:00:00 PM,0.453,72.0,,,,
341,10/22/17 09:00:00 PM,0.674,0.0,,,,
342,10/23/17 03:00:00 AM,0.784,0.0,,,,
343,10/23/17 09:00:00 AM,1.656,30.0,,,,
344,10/23/17 03:00:00 PM,4.519,45.0,,,,
345,10/23/17 09:00:00 PM,4.623,0.0,,,,
346,10/24/17 03:00:00 AM,4.831,0.0,,,,
347,10/24/17 09:00:00 AM,5.757,29.0,,,,
348,10/24/17 03:00:00 PM,9.571,43.0,,,,
349,10/24/17 09:00:00 PM,8.581,0.0,,,,
350,10/25/17 03:00:00 AM,8.481,0.0,,,,
351,10/25/17 09:00:00 AM,7.882,28.0,,,,
352,10/25/17 03:00:00 PM,9.373,41.0,,,,
353,10/25/17 09:00:00 PM,8.581,0.0,,,,
354,10/26/17 03:00:00 AM,6.573,0.0,,,,
355,10/26/17 09:00:00 AM,6.268,26.0,,,,
356,10/26/17 03:00:00 PM,9.669,42.0,,,,
357,10/26/17 09:00:00 PM,8.581,0.0,,,,
358,10/27/17 03:00:00 AM,7.782,0.0,,,,
359,10/27/17 09:00:00 AM,7.582,26.0,,,,
360,10/27/17 03:00:00 PM,10.846,40.0,,,,
361,10/27/17 09:00:00 PM,9.571,0.0,,,,
362,10/28/17 03:00:00 AM,9.077,0.0,,,,
363,10/28/17 09:00:00 AM,8.879,25.0,,,,
364,10/28/17 03:00:00 PM,11.722,43.0,,,,
365,10/28/17 09:00:00 PM,9.768,0.0,,,,
366,10/29/17 03:00:00 AM,9.077,0.0,,,,
367,10/29/17 09:00:00 AM,8.481,26.0,,,,
368,10/29/17 03:00:00 PM,9.768,43.0,,,,
369,10/29/17 09:00:00 PM,5.860,0.0,,,,
370,10/30/17 03:00:00 AM,4.415,0.0,,,,
371,10/30/17 09:00:00 AM,1.872,36.0,,,,
372,10/30/17 03:00:00 PM,2.195,51.0,,,,
373,10/30/17 09:00:00 PM,0.563,0.0,,,,
374,10/31/17 03:00:00 AM,1.221,0.0,,,,
375,10/31/17 09:00:00 AM,2.303,32.0,,,,
376,10/31/17 03:00:00 PM,6.573,46.0,,,,
377,10/31/17 09:00:00 PM,5.037,0.0,,,,
378,11/01/17 03:00:00 AM,3.788,0.0,,,,
379,11/01/17 09:00:00 AM,2.837,40.0,,,,
380,11/01/17 03:00:00 PM,6.978,86.0,,,,
